,Number
2014-09-01 16:16:00,8559
2014-09-01 16:18:00,10082
2014-09-01 16:20:00,8568
2014-09-01 16:22:00,9972
2014-09-01 16:24:00,11373
2014-09-01 16:26:00,10174
2014-09-01 16:28:00,9374
2014-09-01 16:30:00,9568
2014-09-01 16:32:00,10175
2014-09-01 16:34:00,10378
2014-09-01 16:36:00,8763
2014-09-01 16:38:00,9169
2014-09-01 16:40:00,10063
2014-09-01 16:42:00,8467
2014-09-01 16:44:00,8354
2014-09-01 16:46:00,8061
2014-09-01 16:48:00,9874
2014-09-01 16:50:00,8857
2014-09-01 16:52:00,8564
2014-09-01 16:54:00,8457
2014-09-01 16:56:00,9071
2014-09-01 16:58:00,12608
2014-09-01 17:00:00,8671
2014-09-01 17:02:00,11179
2014-09-01 17:04:00,9669
2014-09-01 17:06:00,10079
2014-09-01 17:08:00,8668
2014-09-01 17:10:00,10687
2014-09-01 17:12:00,9767
2014-09-01 17:14:00,9566
2014-09-01 17:16:00,8556
2014-09-01 17:18:00,7759
2014-09-01 17:20:00,8765
2014-09-01 17:22:00,6954
2014-09-01 17:24:00,7359
2014-09-01 17:26:00,7959
2014-09-01 17:28:00,7755
2014-09-01 17:30:00,9265
2014-09-01 17:32:00,9265
2014-09-01 17:34:00,8154
2014-09-01 17:36:00,9168
2014-09-01 17:38:00,8870
2014-09-01 17:40:00,9376
2014-09-01 17:42:00,9057
2014-09-01 17:44:00,8260
2014-09-01 17:46:00,9268
2014-09-01 17:48:00,7957
2014-09-01 17:50:00,9572
2014-09-01 17:52:00,9567
2014-09-01 17:54:00,9069
2014-09-01 17:56:00,10581
2014-09-01 17:58:00,8369
2014-09-01 18:00:00,10079
2014-09-01 18:02:00,8772
2014-09-01 18:04:00,8768
2014-09-01 18:06:00,8270
2014-09-01 18:08:00,8867
2014-09-01 18:10:00,9370
2014-09-01 18:12:00,9977
2014-09-01 18:14:00,8868
2014-09-01 18:16:00,9170
2014-09-01 18:18:00,9876
2014-09-01 18:20:00,9678
2014-09-01 18:22:00,9271
